steamid,player_name,team_clan_name,map_count,tapd_ct,tapd_t,tapd_overall,oap_ct,oap_t,oap_overall,podt_ct,podt_t,podt_overall,pokt_ct,pokt_t,pokt_overall,adnt_rank_ct,adnt_rank_t,adnt_rank_overall,adat_rank_ct,adat_rank_t,adat_rank_overall,role_overall,role_t,role_ct
76561198154095163,drg,YNG Sharks,6,66.36582943028256,58.15775172433288,61.52643255524889,20.27027027027027,31.34328358208955,25.53191489361702,16.124078624078624,29.023066485753052,22.901772488212057,23.283338283338285,22.654584221748397,22.90590751667097,0.5027027027027028,0.33731343283582094,0.3829787234042554,0.7513513513513513,0.4686567164179104,0.7177304964539007,,,
76561197962710908,jani,JANO,6,54.06806891025641,51.27641058266058,52.61089413391096,26.153846153846153,22.972972972972972,24.46043165467626,13.426573426573427,24.247104247104247,19.288636317836488,19.934253780407627,25.437580437580436,23.817465389333755,0.5323076923076924,0.4027027027027027,0.49640287769784175,0.6861538461538461,0.3945945945945946,0.5985611510791368,,,
76561198453919902,togs,YNG Sharks,6,66.31641219141218,70.38919798329779,66.81917240352143,6.756756756756757,8.955223880597014,7.801418439716312,21.23552123552123,16.488983653162755,18.143932304295802,23.528363528363528,32.59158751696065,27.22798084500212,0.4864864864864865,0.9373134328358208,0.724822695035461,0.572972972972973,0.8656716417910447,0.6156028368794327,,,
76561198098536184,Juho,JANO,6,50.95326493818681,45.58922393766144,47.87943988577212,18.46153846153846,24.324324324324323,21.58273381294964,17.964701964701963,30.175770175770175,25.2400165429154,24.305694305694306,16.95945945945946,21.245179107550083,0.5292307692307692,0.5513513513513513,0.5697841726618705,0.596923076923077,0.6432432432432432,0.637410071942446,,,
76561197961610974,allu,JANO,6,59.8809581043956,55.42344604649292,56.31144516164454,15.68627450980392,14.0,14.851485148514852,14.153846153846153,9.183991683991684,11.398499711750041,28.82502113271344,29.420849420849418,28.175594862455903,0.4707692307692308,0.5,0.44172661870503593,0.4184615384615385,0.40540540540540543,0.33237410071942447,,,
76561198098344244,Keoz,GamerLegion,6,61.69348591549296,50.46441940818535,52.38128902491033,23.943661971830984,36.734693877551024,29.166666666666668,31.52246814218645,28.657272432782637,26.577702934320584,10.897887323943662,2.5510204081632653,11.820540935672515,0.504225352112676,0.6979591836734694,0.52,0.6704225352112676,0.7469387755102042,0.7533333333333334,,,
76561198029235071,Cryptic,BOSS,6,58.46543317522322,54.51194342320262,57.18855087907902,21.875,30.88235294117647,26.515151515151516,31.134672619047617,26.503267973856207,27.126841167088845,19.32426948051948,23.445378151260503,20.81550802139037,0.3875,0.6294117647058824,0.43787878787878787,0.44062500000000004,0.5882352941176472,0.3787878787878788,,,
76561198336814871,freshie,BOSS,6,60.028033737909226,58.7901614954694,60.21456565895043,15.625,11.764705882352942,13.636363636363637,15.729166666666664,28.609625668449198,23.69660642387915,15.520833333333332,35.219633307868605,30.281242879927092,0.42812500000000003,0.5882352941176471,0.4606060606060606,0.59375,0.776470588235294,0.5757575757575758,,,
76561198272723319,FaNg,BOSS,6,62.769441943147996,46.312612336601305,56.337645683404006,23.437499999999996,20.588235294117645,21.96969696969697,16.85267857142857,21.31313131313131,19.126233066450457,14.045758928571429,19.264705882352942,14.632280598189688,0.771875,0.8411764705882353,0.9090909090909091,0.671875,0.8588235294117647,0.9151515151515152,,,
76561198095896540,doc,YNG Sharks,6,64.44099184177308,56.44141235785359,58.99996003257722,31.08108108108108,31.34328358208955,31.20567375886525,21.075141075141076,26.78749111584932,23.77704011802556,26.535626535626538,23.424543946932005,27.904117159436307,0.6810810810810811,0.5343283582089552,0.5517730496453901,0.49189189189189186,0.6805970149253732,0.5092198581560283,Spacetaker,Spacetaker,Rotator
